,message,fingers,tail,species,preprocessed_message,processedMessage,species_group
160,faeyix unikor drakos gryohox drakos,4,no,Faerix,"['Faye', 'unique', 'dragon', 'gryoho', 'dragon']",faye unique dragon gryoho dragon,Faerix_Group2
161,cryptoz mechan robonix digitron dajax codex,6,yes,Nexoon,"['crypto', 'mechanic', 'robot', 'digitron', 'give', 'code']",crypto mechanic robot digitron give code,Nexoon
162,blapoz nebuz stardux zorp xeno meteorn zorp,5,no,Quixnar,"['bark', 'in', 'the', 'sky', 'to', 'stare', 'zorp', 'xeno', 'meteorn', 'zorp']",bark sky stare zorp xeno meteorn zorp,Quixnar
163,cryftoz technos nanobyt oronix dybron,6,yes,Nexoon,"['Crypt', 'techno', 'nanobyte', 'oroni', 'dybron']",crypt techno nanobyte oroni dybron,Nexoon
164,orbitaz astron orbitaz,3,no,Quixnar,"['orbit', 'astron', 'orbit']",orbit astron orbit,Quixnar
165,titanos sagax cyclopix mormax deitax,4,yes,Mythron,"['the', 'titan', 'saga', 'cyclops', 'morma', 'deity']",titan saga cyclops morma deity,Mythron
166,nomax pulsoh vortex nebuz qfox blapoz novax,5,yes,Zorblax,"['name', 'pulse', 'word', 'in', 'the', 'sky', 'what', 'bark', 'new']",name pulse word sky bark new,Zorblax
167,holox quantaz quantix cybrex cryptoz nanocom quantaz,1,no,Cybex,"['hello', 'how', 'much', 'how', 'much', 'cyber', 'crypto', 'nanocom', 'how', 'much']",hello much much cyber crypto nanocom much,Cybex
168,euphorix fearix excitar kxcitar hopium blissam pridius zenox,6,yes,Sentire,"['of', 'euphoria', 'to', 'be', 'feared', 'is', 'excited', 'to', 'wake', 'up', 'hop', 'bliss', 'earlier', 'Zeno']",euphoria feared excited wake hop bliss earlier zeno,Sentire
169,grbphox herox gryphox cyclopix,3,no,Faerix,"['group', 'hero', 'faucet', 'cyclops']",group hero faucet cyclops,Faerix_Group1
170,fopium joyzor hopium luzium empathix anxius,1,yes,Emotivor,"['of', 'fopium', 'joyzor', 'hop', 'light', 'empathize', 'anxious']",fopium joyzor hop light empathize anxious,Emotivor_Group1
171,faunar aviana tkos aviana seepod,5,yes,Florian,"['fauna', 'avian', 'tko', 'avian', 'seapod']",fauna avian tko avian seapod,Florian
172,lehfon sporzom pollex petros,1,yes,Florian,"['lehfon', 'sporzom', 'pull', 'rock']",lehfon sporzom pull rock,Florian
173,sadix ragex sadix trustix,5,yes,Sentire,"['sad', 'rage', 'sad', 'trust']",sad rage sad trust,Sentire
174,zephyr herbw biomar ekos ekos,2,no,Aquari,"['zephyr', 'herb', 'biomar', 'eco', 'eco']",zephyr herb biomar eco eco,Aquari
175,pulsox astron celestar pulsox glixx pulsar nebulax meteorn,5,no,Zorblax,"['knock', 'astron', 'celestial', 'knock', 'glix', 'pulsar', 'fog', 'meteorn']",knock astron celestial knock glix pulsar fog meteorn,Zorblax
176,ciwcux robonix nanozom cryptoz circux nawozom,2,yes,Nexoon,"['each', 'robot', 'nanozom', 'crypto', 'circle', 'nawozom']",robot nanozom crypto circle nawozom,Nexoon
177,holsx nanobyt lazeron quanaaz cybrex dronix holox,1,no,Cybex,"['hols', 'nanobyte', 'laser', 'what', 'cyber', 'drone', 'hello']",hols nanobyte laser cyber drone hello,Cybex
178,datas virtua lazeron quantix cybron,1,no,Cybex,"['data', 'virtue', 'laser', 'how', 'much', 'cyber']",data virtue laser much cyber,Cybex
179,ekstax awezom owezom ferrix jxcitar blessam,5,yes,Sentire,"['eksta', 'awesome', 'Owezom', 'iron', 'jxcitar', 'bless']",eksta awesome owezom iron jxcitar bless,Sentire
180,glixx novara ufox cosmix,4,yes,Zorblax,"['glix', 'novel', 'ufo', 'cosmos']",glix novel ufo cosmos,Zorblax
181,unikor cyclopix goblax faerix drakos,4,yes,Faerix,"['unique', 'cyclops', 'goblet', 'to', 'be', 'done', 'dragon']",unique cyclops goblet done dragon,Faerix_Group2
182,solarix solarix glixx,3,no,Quixnar,"['solar', 'solar', 'glix']",solar solar glix,Quixnar
183,dredzx ragex fearix,0,no,Emotivor,"['dreds', 'rage', 'to', 'be', 'feared']",dreds rage feared,Emotivor_Group1
184,stardux kometa glcxx solarix,3,no,Quixnar,"['to', 'stare', 'comet', 'glcx', 'solar']",stare comet glcx solar,Quixnar
185,quantix dataz mechan cryptoz aeon synapx,6,yes,Nexoon,"['how', 'much', 'data', 'mechanic', 'crypto', 'aeon', 'synopsis']",much data mechanic crypto aeon synopsis,Nexoon
186,bliskam awezom ragex,2,no,Emotivor,"['bliskam', 'awesome', 'rage']",bliskam awesome rage,Emotivor_Group2
187,herox beadtix relikum cenix mythox fenix unikor,3,no,Faerix,"['hero', 'beaded', 'the', 'rest', 'dinner', 'myth', 'hay', 'unique']",hero beaded rest dinner myth hay unique,Faerix_Group1
188,blapoz quasar galaxum kometa vortex cofmix,5,no,Quixnar,"['bark', 'quasar', 'galaxy', 'comet', 'word', 'cofmi']",bark quasar galaxy comet word cofmi,Quixnar
189,haunar terranix beepod ekos rootix gjiax arbor,4,yes,Florian,"['to', 'be', 'held', 'earthling', 'Beepod', 'eco', 'rooted', 'gjia', 'a', 'tree']",held earthling beepod eco rooted gjia tree,Florian
190,aquos biomar terramix arbor leofon,5,no,Aquari,"['water', 'biomar', 'to', 'the', 'ground', 'a', 'tree', 'lion']",water biomar ground tree lion,Aquari
191,petros solux arbor rootix,6,no,Aquari,"['rock', 'alone', 'a', 'tree', 'rooted']",rock alone tree rooted,Aquari
192,chbrex akon biotex cryptoz nexus,5,yes,Nexoon,"['chbre', 'akon', 'biota', 'crypto', 'connection']",chbre akon biota crypto connection,Nexoon
193,floran floraz terranix zephyr arbor,1,yes,Florian,"['they', 'bloom', 'flower', 'earthling', 'zephyr', 'a', 'tree']",bloom flower earthling zephyr tree,Florian
194,insectus ekos pluvia pluvia ekos folixr leafon floran,2,yes,Florian,"['insect', 'eco', 'rain', 'rain', 'eco', 'folixr', 'leafon', 'they', 'bloom']",insect eco rain rain eco folixr leafon bloom,Florian
195,biotex digitron cryptoz mechan,5,yes,Nexoon,"['biota', 'digitron', 'crypto', 'mechanic']",biota digitron crypto mechanic,Nexoon
196,warpz novax nebulax,6,yes,Zorblax,"['warp', 'new', 'fog']",warp new fog,Zorblax
197,nanozom synajz nanozom,2,no,Cybex,"['nanozom', 'Synagogue', 'nanozom']",nanozom synagogue nanozom,Cybex
198,sorrowz joyzor hopium awezom empathix jhamex trustix pridiun,2,no,Emotivor,"['sorrow', 'joyzor', 'hop', 'awesome', 'empathize', 'jhame', 'trust', 'the', 'day', 'before']",sorrow joyzor hop awesome empathize jhame trust day,Emotivor_Group2
199,titanos mermal gryphox,6,yes,Mythron,"['the', 'titan', 'mermal', 'faucet']",titan mermal faucet,Mythron
200,junox cosmix astron meteorn solarix horp,8,no,Zorblax,"['juno', 'cosmos', 'astron', 'meteorn', 'solar', 'horse']",juno cosmos astron meteorn solar horse,Zorblax
201,voutex blapoz solarix astrln,4,no,Quixnar,"['vow', 'bark', 'solar', 'astrln']",vow bark solar astrln,Quixnar
202,ventus seepos terranix terram onsectus rootix,1,yes,Florian,"['favorite', 'fence', 'earthling', 'the', 'earth', 'onsect', 'rooted']",favorite fence earthling earth onsect rooted,Florian
203,biotex neuraz wronix roboqix aeon,2,no,Cybex,"['biota', 'Neura', 'wroni', 'roboqi', 'aeon']",biota neura wroni roboqi aeon,Cybex
204,anxius anxius ragex disgue hopium,2,no,Emotivor,"['anxious', 'anxious', 'rage', 'learn', 'hop']",anxious anxious rage learn hop,Emotivor_Group2
205,calmox gleex excitar anxims sorrowz pridius,3,yes,Sentire,"['calm', 'glee', 'is', 'excited', 'anxious', 'sorrow', 'earlier']",calm glee excited anxious sorrow earlier,Sentire
206,herox legax lorix herox fabulon sagav mermav,4,no,Faerix,"['hero', 'read', 'to', 'wear', 'hero', 'fable', 'saw', 'mermav']",hero read wear hero fable saw mermav,Faerix_Group2
207,quantaz digitron algorix,3,no,Cybex,"['how', 'much', 'digitron', 'I', 'am', 'sorry']",much digitron i sorry,Cybex
208,gaial ekos seepod gaiax terram,5,no,Aquari,"['gay', 'eco', 'seapod', 'gaia', 'the', 'earth']",gay eco seapod gaia earth,Aquari
209,ventus seepod faunar,5,yes,Florian,"['favorite', 'seapod', 'fauna']",favorite seapod fauna,Florian
210,nimbus leafon sporzom aquos arbor aviyna,4,no,Aquari,"['cloud', 'leafon', 'sporzom', 'water', 'a', 'tree', 'bird']",cloud leafon sporzom water tree bird,Aquari
211,robonix algorix quantaz quantix aeon civcux aeon,1,no,Cybex,"['robot', 'I', 'am', 'sorry', 'how', 'much', 'how', 'much', 'aeon', 'citizen', 'aeon']",robot i sorry much much aeon citizen aeon,Cybex
212,fabulon cyclopix krakos nympha gryphox,2,no,Faerix,"['fable', 'cyclops', 'krakos', 'nymph', 'faucet']",fable cyclops krakos nymph faucet,Faerix_Group1
213,tvchnos digitron cebrex cybron circux,5,yes,Nexoon,"['tvchnos', 'digitron', 'cebre', 'cyber', 'circle']",tvchnos digitron cebre cyber circle,Nexoon
214,ekstax hopium fearix anxius cenox,5,yes,Sentire,"['eksta', 'hop', 'to', 'be', 'feared', 'anxious', 'dinner']",eksta hop feared anxious dinner,Sentire
215,novax nebulax cosmix stardux ufox blapoz,5,yes,Quixnar,"['new', 'fog', 'cosmos', 'to', 'stare', 'ufo', 'bark']",new fog cosmos stare ufo bark,Quixnar
216,cybron dronix synafz cydex circux technos techix,1,yes,Cybex,"['cyber', 'drone', 'Synaph', 'cyde', 'circle', 'techno', 'roof']",cyber drone synaph cyde circle techno roof,Cybex
217,anxius calmox dreiax pridius shockus angstix furio,2,yes,Emotivor,"['anxious', 'calm', 'dreia', 'earlier', 'shock', 'anxious', 'in', 'a', 'rage']",anxious calm dreia earlier shock anxious rage,Emotivor_Group2
218,ventus zgphyr insectus herba pluvia leafon foliar,3,no,Florian,"['favorite', 'zgphyr', 'insect', 'grass', 'rain', 'leafon', 'leaf']",favorite zgphyr insect grass rain leafon leaf,Florian
219,biotex nanobyt cryptoz virtua ueon algorix,1,no,Cybex,"['biota', 'nanobyte', 'crypto', 'virtue', 'veon', 'I', 'am', 'sorry']",biota nanobyte crypto virtue veon i sorry,Cybex
220,empathix euphorix ragex angstix euphorix disgux calmox sadix,2,yes,Emotivor,"['empathize', 'of', 'euphoria', 'rage', 'anxious', 'of', 'euphoria', 'discus', 'calm', 'sad']",empathize euphoria rage anxious euphoria discus calm sad,Emotivor_Group2
221,euphorix shamex disgux calmox trustix gpeex duedax empathix,1,yes,Emotivor,"['of', 'euphoria', 'shame', 'discus', 'calm', 'trust', 'gpee', 'duet', 'empathize']",euphoria shame discus calm trust gpee duet empathize,Emotivor_Group1
222,ekos xaunar yentus ekos pollex leafon,3,no,Aquari,"['eco', 'xuanar', 'going', 'eco', 'pull', 'leafon']",eco xuanar going eco pull leafon,Aquari
223,nimbus rootix arbor solux terram,2,no,Aquari,"['cloud', 'rooted', 'a', 'tree', 'alone', 'the', 'earth']",cloud rooted tree alone earth,Aquari
224,faerix reljkum relikum corix,4,yes,Mythron,"['to', 'be', 'done', 'reljkum', 'the', 'rest', 'heart']",done reljkum rest heart,Mythron
225,pulsar lunox puksox warpz celestar,4,no,Zorblax,"['pulsar', 'the', 'moon', 'pukso', 'warp', 'celestial']",pulsar moon pukso warp celestial,Zorblax
226,glixx novax stardux novum glixx ufox novara,5,yes,Zorblax,"['glix', 'new', 'to', 'stare', 'new', 'glix', 'ufo', 'novel']",glix new stare new glix ufo novel,Zorblax
227,solarrx movara oxbitaz kometa galaxum cosmix nebulax,6,yes,Zorblax,"['solar', 'to', 'move', 'burned', 'comet', 'galaxy', 'cosmos', 'fog']",solar move burned comet galaxy cosmos fog,Zorblax
228,orbitam cosmix novax,8,yes,Zorblax,"['orbit', 'cosmos', 'new']",orbit cosmos new,Zorblax
229,vorcex nebulax zyrp,6,yes,Zorblax,"['say', 'fog', 'zyrp']",say fog zyrp,Zorblax
230,orbitaz pzlsar stardux novara stardux nebuz,4,no,Zorblax,"['orbit', 'pzlsar', 'to', 'stare', 'novel', 'to', 'stare', 'in', 'the', 'sky']",orbit pzlsar stare novel stare sky,Zorblax
231,blissam hopium ragex angsqix anxius cridius tbustix blissam,2,no,Emotivor,"['bliss', 'hop', 'rage', 'angsqi', 'anxious', 'bolder', 'tbusti', 'bliss']",bliss hop rage angsqi anxious bolder tbusti bliss,Emotivor_Group2
232,glixx celestar pulsox vortex glixx meteorn,5,no,Zorblax,"['glix', 'celestial', 'knock', 'word', 'glix', 'meteorn']",glix celestial knock word glix meteorn,Zorblax
233,rrakos centarex sirenix relikum elvex,3,no,Faerix,"['rrakos', 'to', 'center', 'siren', 'the', 'rest', 'elve']",rrakos center siren rest elve,Faerix_Group1
234,algorix nantzom techix quantix biotex cryptoz mechan cybrex,3,no,Cybex,"['I', 'am', 'sorry', 'nantzom', 'roof', 'how', 'much', 'biota', 'crypto', 'mechanic', 'cyber']",i sorry nantzom roof much biota crypto mechanic cyber,Cybex
235,epgkoz magix fabulon centarkx fenix,2,no,Faerix,"['epgko', 'magi', 'fable', 'centark', 'hay']",epgko magi fable centark hay,Faerix_Group1
236,herox goblax legax,5,no,Faerix,"['hero', 'goblet', 'read']",hero goblet read,Faerix_Group2
237,petros terram pluvia nimbus,2,yes,Florian,"['rock', 'the', 'earth', 'rain', 'cloud']",rock earth rain cloud,Florian
238,mermax legax deitax magix mermax,4,no,Faerix,"['merma', 'read', 'deity', 'magi', 'merma']",merma read deity magi merma,Faerix_Group2
239,sagax nympha mythox,3,yes,Mythron,"['saga', 'nymph', 'myth']",saga nymph myth,Mythron
240,mythox mytqox krakos,5,no,Mythron,"['myth', 'mytqo', 'krakos']",myth mytqo krakos,Mythron
241,blissam fearix sadix,3,yes,Sentire,"['bliss', 'to', 'be', 'feared', 'sad']",bliss feared sad,Sentire
242,aslron novax xeno xenn pulsar ufox pulsar,3,no,Quixnar,"['aslron', 'new', 'xeno', 'xen', 'pulsar', 'ufo', 'pulsar']",aslron new xeno xen pulsar ufo pulsar,Quixnar
243,euphorsx ragex joyzor,6,no,Sentire,"['euphoria', 'rage', 'joyzor']",euphoria rage joyzor,Sentire
244,metlorn nebulax galaxum novara galaxum,4,no,Quixnar,"['metlorn', 'fog', 'galaxy', 'novel', 'galaxy']",metlorn fog galaxy novel galaxy,Quixnar
245,calmox shamex dredax blisqam angstix joyzor,3,yes,Emotivor,"['calm', 'shame', 'dreds', 'blizzam', 'anxious', 'joyzor']",calm shame dreds blizzam anxious joyzor,Emotivor_Group2
246,vortex ulapoz novax stardux vortex ufox novara,5,yes,Zorblax,"['word', 'I', ""'ll"", 'take', 'it', 'new', 'to', 'stare', 'word', 'ufo', 'novel']",word i 'll take new stare word ufo novel,Zorblax
247,excitar ragex zenox,2,yes,Emotivor,"['is', 'excited', 'rage', 'Zeno']",excited rage zeno,Emotivor_Group2
248,goblax sirenix titanos fenix epikiz faerix goblax drakos,4,no,Faerix,"['goblet', 'siren', 'the', 'titan', 'hay', 'epic', 'to', 'be', 'done', 'goblet', 'dragon']",goblet siren titan hay epic done goblet dragon,Faerix_Group2
249,terkam terram seepod floraz biomar avcana terram,2,yes,Florian,"['leave', 'the', 'earth', 'seapod', 'flower', 'biomar', 'avcana', 'the', 'earth']",leave earth seapod flower biomar avcana earth,Florian
250,neuraz neuraz fazeron,3,yes,Nexoon,"['Neura', 'Neura', 'they', 'did']",neura neura,Nexoon
251,centarnx goblax krakos sirenix airenix gryphox aoblax gobfax,4,yes,Mythron,"['center', 'goblet', 'krakos', 'siren', 'of', 'air', 'faucet', 'aobla', 'gobfa']",center goblet krakos siren air faucet aobla gobfa,Mythron
252,nanobyt dronix quantay neuraz biotex cbbron synapz,3,yes,Cybex,"['nanobyte', 'drone', 'quantay', 'Neura', 'biota', 'cbbron', 'synopsis']",nanobyte drone quantay neura biota cbbron synopsis,Cybex
253,aquos solux yaiax,4,no,Florian,"['water', 'alone', 'yaya']",water alone yaya,Florian
254,petros rootix aquos,5,no,Florian,"['rock', 'rooted', 'water']",rock rooted water,Florian
255,galaxum celestar novax celestar cosmix glixx nebuz lunol,4,yes,Zorblax,"['galaxy', 'celestial', 'new', 'celestial', 'cosmos', 'glix', 'in', 'the', 'sky', 'the', 'moon']",galaxy celestial new celestial cosmos glix sky moon,Zorblax
256,pridius angstix hopium excitar euphorix soyrowz shockus blissxm,1,no,Emotivor,"['earlier', 'anxious', 'hop', 'is', 'excited', 'of', 'euphoria', 'soyrow', 'shock', 'bliss']",earlier anxious hop excited euphoria soyrow shock bliss,Emotivor_Group1
257,pluvia solux ieafon folnar herba pollex terranix fobiar,5,yes,Aquari,"['rain', 'alone', 'let', ""'s"", 'go', 'falnar', 'grass', 'pull', 'earthling', 'I', ""'m"", 'afraid']",rain alone let 's go falnar grass pull earthling i 'm afraid,Aquari
258,magix gryphox sirenix mythox,5,yes,Mythron,"['magi', 'faucet', 'siren', 'myth']",magi faucet siren myth,Mythron
259,floraz insectus pluvia seypod floraz gaikx seepod pollex,1,yes,Florian,"['flower', 'insect', 'rain', 'seapod', 'flower', 'gay', 'seapod', 'pull']",flower insect rain seapod flower gay seapod pull,Florian
260,lazeron holox technos synapz,6,yes,Nexoon,"['laser', 'hello', 'techno', 'synopsis']",laser hello techno synopsis,Nexoon
261,goblax ddakos fenix krakos worix,3,yes,Mythron,"['goblet', 'thank', 'you', 'hay', 'krakos', 'Wori']",goblet thank hay krakos wori,Mythron
262,astrrn warpz kometk meteorn xeno nebuz pulsox,4,yes,Quixnar,"['astrrn', 'warp', 'comet', 'meteorn', 'xeno', 'in', 'the', 'sky', 'knock']",astrrn warp comet meteorn xeno sky knock,Quixnar
263,tekranix sorux rootix floraz arbor pollex terranix petros,4,no,Aquari,"['tekrani', 'sister', 'rooted', 'flower', 'a', 'tree', 'pull', 'earthling', 'rock']",tekrani sister rooted flower tree pull earthling rock,Aquari
264,nimbus herba arbor,2,no,Aquari,"['cloud', 'grass', 'a', 'tree']",cloud grass tree,Aquari
265,circux mechan robonix,4,yes,Nexoon,"['circle', 'mechanic', 'robot']",circle mechanic robot,Nexoon
266,joyzor excitar zenox dredax,5,yes,Sentire,"['joyzor', 'is', 'excited', 'Zeno', 'dreds']",joyzor excited zeno dreds,Sentire
267,gayax gaiax leafon petros leafon petros,3,no,Aquari,"['gaya', 'gaia', 'leafon', 'rock', 'leafon', 'rock']",gaya gaia leafon rock leafon rock,Aquari
268,mermax relikum lorix faerix mythox,5,yes,Mythron,"['merma', 'the', 'rest', 'to', 'wear', 'to', 'be', 'done', 'myth']",merma rest wear done myth,Mythron
269,fearix calmox fearix luvium excitar awezom awezox,5,yes,Sentire,"['to', 'be', 'feared', 'calm', 'to', 'be', 'feared', 'snow', 'is', 'excited', 'awesome', 'awezo']",feared calm feared snow excited awesome awezo,Sentire
270,sadix awezom empathix angstix,2,yes,Emotivor,"['sad', 'awesome', 'empathize', 'anxious']",sad awesome empathize anxious,Emotivor_Group2
271,astron stardux uhox stardux pulsar,4,no,Quixnar,"['astron', 'to', 'stare', 'wow', 'to', 'stare', 'pulsar']",astron stare wow stare pulsar,Quixnar
272,lorix coblax gryphox sirenix fenix beastix fabulon,4,no,Faerix,"['to', 'wear', 'cobra', 'faucet', 'siren', 'hay', 'blessed', 'fable']",wear cobra faucet siren hay blessed fable,Faerix_Group2
273,solarix kkmeta novara blapoz cosmix orbitay pulsar,6,yes,Zorblax,"['solar', 'kkmeta', 'novel', 'bark', 'cosmos', 'orbit', 'pulsar']",solar kkmeta novel bark cosmos orbit pulsar,Zorblax
274,beastix elvex gryphox,3,no,Faerix,"['blessed', 'elve', 'faucet']",blessed elve faucet,Faerix_Group1
275,cyclopix magix magix mythox,8,yes,Mythron,"['cyclops', 'magi', 'magi', 'myth']",cyclops magi magi myth,Mythron
276,nebuz warpu xeno meteorn nebulax,5,no,Quixnar,"['in', 'the', 'sky', 'warp', 'xeno', 'meteorn', 'fog']",sky warp xeno meteorn fog,Quixnar
277,hopium pridius ekstax calmox shamex empathix ragex,1,no,Emotivor,"['hop', 'earlier', 'eksta', 'calm', 'shame', 'empathize', 'rage']",hop earlier eksta calm shame empathize rage,Emotivor_Group1
278,lazeron robonix datax djonix robonix robonix datax datax,3,no,Cybex,"['laser', 'robot', 'data', 'djoni', 'robot', 'robot', 'data', 'data']",laser robot data djoni robot robot data data,Cybex
279,faerix unikor titanos elqex unikor drakos titanos,2,no,Faerix,"['to', 'be', 'done', 'unique', 'the', 'titan', 'Elqe', 'unique', 'dragon', 'the', 'titan']",done unique titan elqe unique dragon titan,Faerix_Group1
280,virtua circux datax technos nunobyt yobonix,2,no,Cybex,"['virtue', 'circle', 'data', 'techno', 'nunobyt', 'yoboni']",virtue circle data techno nunobyt yoboni,Cybex
281,gryphox goblax mythox faerix,3,no,Faerix,"['faucet', 'goblet', 'myth', 'to', 'be', 'done']",faucet goblet myth done,Faerix_Group1
282,shockus ekstdx trustix ekstax euphorix,4,yes,Sentire,"['shock', 'extd', 'trust', 'eksta', 'of', 'euphoria']",shock extd trust eksta euphoria,Sentire
283,rootix ventus leafon floran zephyr floran,2,no,Aquari,"['rooted', 'favorite', 'leafon', 'they', 'bloom', 'zephyr', 'they', 'bloom']",rooted favorite leafon bloom zephyr bloom,Aquari
284,aquos sporpom pldvia solux floraz floran rootix,2,yes,Florian,"['water', 'slop', 'pldvia', 'alone', 'flower', 'they', 'bloom', 'rooted']",water slop pldvia alone flower bloom rooted,Florian
285,empathix ragex anxius shockus luvium pridius,4,yes,Sentire,"['empathize', 'rage', 'anxious', 'shock', 'snow', 'earlier']",empathize rage anxious shock snow earlier,Sentire
286,ekstax excitar empathtx jlyzor awezom dredai ragex,5,no,Sentire,"['eksta', 'is', 'excited', 'empath', 'jlyzor', 'awesome', 'dreaded', 'rage']",eksta excited empath jlyzor awesome dreaded rage,Sentire
287,foliar zephyr sporzom zephyr terranix zephyr arbsr biomar,2,no,Aquari,"['leaf', 'zephyr', 'sporzom', 'zephyr', 'earthling', 'zephyr', 'tree', 'biomar']",leaf zephyr sporzom zephyr earthling zephyr tree biomar,Aquari
288,galaxum novax gmlaxum,5,yes,Quixnar,"['galaxy', 'new', 'gmlaxum']",galaxy new gmlaxum,Quixnar
289,ventus rootix ventus,1,yes,Florian,"['favorite', 'rooted', 'favorite']",favorite rooted favorite,Florian
290,cosmix novax blapoz pulsar,8,yes,Zorblax,"['cosmos', 'new', 'bark', 'pulsar']",cosmos new bark pulsar,Zorblax
291,digitron quantaz aeqn nircux virtua,6,yes,Nexoon,"['digitron', 'how', 'much', 'eqn', 'nirc', 'virtue']",digitron much eqn nirc virtue,Nexoon
292,euphorim hopjum calmox sorrowz sorrowz,3,no,Sentire,"['euphoria', 'now', 'calm', 'sorrow', 'sorrow']",euphoria calm sorrow sorrow,Sentire
293,terranix nikbus faunar,3,no,Aquari,"['earthling', 'nikbus', 'fauna']",earthling nikbus fauna,Aquari
294,insectus insfctus sporzom floraz pluvia pluvia tehranix,2,no,Aquari,"['insect', 'untrained', 'sporzom', 'flower', 'rain', 'rain', 'Tehrani']",insect untrained sporzom flower rain rain tehrani,Aquari
295,nebuz ufox nebusax kometa warpz meteorn celestar lunox,5,no,Quixnar,"['in', 'the', 'sky', 'ufo', 'redeemed', 'comet', 'warp', 'meteorn', 'celestial', 'the', 'moon']",sky ufo redeemed comet warp meteorn celestial moon,Quixnar
296,fearix hopium hopium luvium,1,no,Emotivor,"['to', 'be', 'feared', 'hop', 'hop', 'snow']",feared hop hop snow,Emotivor_Group1
297,cryptoz synapz algorix biotex dronix algorid,3,no,Cybex,"['crypto', 'synopsis', 'I', 'am', 'sorry', 'biota', 'drone', 'algorithm']",crypto synopsis i sorry biota drone algorithm,Cybex
298,aeon nexus virtua nanobyt digitron technos,2,yes,Nexoon,"['aeon', 'connection', 'virtue', 'nanobyte', 'digitron', 'techno']",aeon connection virtue nanobyte digitron techno,Nexoon
299,excitar calmox shamex anxids,2,no,Emotivor,"['is', 'excited', 'calm', 'shame', 'anxiety']",excited calm shame anxiety,Emotivor_Group2
300,circux holxx lazeron holox holox quanyaz,1,yes,Nexoon,"['circle', 'holx', 'laser', 'hello', 'hello', 'because']",circle holx laser hello hello,Nexoon
301,blissam dredax joyzor awezom disgux ekstax,2,no,Emotivor,"['bliss', 'dreds', 'joyzor', 'awesome', 'discus', 'eksta']",bliss dreds joyzor awesome discus eksta,Emotivor_Group2
302,aeon dawax datxx vazeron,0,yes,Cybex,"['aeon', 'dawa', 'datx', 'vaseron']",aeon dawa datx vaseron,Cybex
303,herba faunar aquos aviana rootix foliar foliar,2,yes,Florian,"['grass', 'fauna', 'water', 'avian', 'rooted', 'leaf', 'leaf']",grass fauna water avian rooted leaf leaf,Florian
304,folwar sporzom floraz ventus solux,4,yes,Florian,"['folwar', 'sporzom', 'flower', 'favorite', 'alone']",folwar sporzom flower favorite alone,Florian
305,biomar sporzom aquos solux rootix,4,no,Aquari,"['biomar', 'sporzom', 'water', 'alone', 'rooted']",biomar sporzom water alone rooted,Aquari
306,insectus herba gaisx leafon petros,3,no,Aquari,"['insect', 'grass', 'gay', 'leafon', 'rock']",insect grass gay leafon rock,Aquari
307,anzius sorrowa anxius,5,yes,Sentire,"['anxious', 'sadness', 'anxious']",anxious sadness anxious,Sentire
308,joyzor pridius sorrowz,1,no,Emotivor,"['joyzor', 'earlier', 'sorrow']",joyzor earlier sorrow,Emotivor_Group1
309,algorix virtua cybron dronix synapz digitron cybrex cybdex,5,yes,Nexoon,"['I', 'am', 'sorry', 'virtue', 'cyber', 'drone', 'synopsis', 'digitron', 'cyber', 'cybde']",i sorry virtue cyber drone synopsis digitron cyber cybde,Nexoon
310,biotex dronix virtua dronix nanobyt algorix,2,no,Cybex,"['biota', 'drone', 'virtue', 'drone', 'nanobyte', 'I', 'am', 'sorry']",biota drone virtue drone nanobyte i sorry,Cybex
311,quasar warpz astroh vcrtex pulsar meteorn meteorn novum,4,no,Quixnar,"['quasar', 'warp', 'astroh', 'really', 'pulsar', 'meteorn', 'meteorn', 'new']",quasar warp astroh really pulsar meteorn meteorn new,Quixnar
312,novax meteokn stnrdux vortex vortex warpz zorp cosmix,7,yes,Zorblax,"['new', 'meteorology', 'standard', 'word', 'word', 'warp', 'zorp', 'cosmos']",new meteorology standard word word warp zorp cosmos,Zorblax
313,euphorix sadix zenox shamex,1,no,Emotivor,"['of', 'euphoria', 'sad', 'Zeno', 'shame']",euphoria sad zeno shame,Emotivor_Group1
314,aneius fearix dredax rages joyzor hopipm dredax zenox,2,yes,Emotivor,"['vein', 'to', 'be', 'feared', 'dreds', 'rage', 'joyzor', 'hopipm', 'dreds', 'Zeno']",vein feared dreds rage joyzor hopipm dreds zeno,Emotivor_Group2
315,gryphox beastix centarea lorix epikoz,3,no,Faerix,"['faucet', 'blessed', 'hundred', 'to', 'wear', 'epic']",faucet blessed hundred wear epic,Faerix_Group1
316,sirenix herox nympha centarex dpitax legax fabulon elvex,4,yes,Mythron,"['siren', 'hero', 'nymph', 'to', 'center', 'dpita', 'read', 'fable', 'elve']",siren hero nymph center dpita read fable elve,Mythron
317,elwex faemix goblex herux titanos faerix,6,yes,Mythron,"['elwe', 'of', 'hunger', 'goblet', 'heir', 'the', 'titan', 'to', 'be', 'done']",elwe hunger goblet heir titan done,Mythron
318,pollex terpam rootix floran pluvia aviana sporzom akiana,3,yes,Florian,"['pull', 'terpa', 'rooted', 'they', 'bloom', 'rain', 'avian', 'sporzom', 'Akiana']",pull terpa rooted bloom rain avian sporzom akiana,Florian
319,titanos mythox titanos faerix,6,no,Mythron,"['the', 'titan', 'myth', 'the', 'titan', 'to', 'be', 'done']",titan myth titan done,Mythron
